MunicipalityCode;IndicatorID;Year;ValueRaw;ValueParsed
BUF;SAFE_CRIME_MURDER_COUNT;2022/2023;769;769
CPT;SAFE_CRIME_MURDER_COUNT;2022/2023;5533;5533
EC101;SAFE_CRIME_MURDER_COUNT;2022/2023;68;68
EC102;SAFE_CRIME_MURDER_COUNT;2022/2023;16;16
EC104;SAFE_CRIME_MURDER_COUNT;2022/2023;56;56
EC105;SAFE_CRIME_MURDER_COUNT;2022/2023;50;50
EC106;SAFE_CRIME_MURDER_COUNT;2022/2023;88;88
EC108;SAFE_CRIME_MURDER_COUNT;2022/2023;114;114
EC109;SAFE_CRIME_MURDER_COUNT;2022/2023;27;27
EC121;SAFE_CRIME_MURDER_COUNT;2022/2023;328;328
EC122;SAFE_CRIME_MURDER_COUNT;2022/2023;353;353
EC123;SAFE_CRIME_MURDER_COUNT;2022/2023;32;32
EC124;SAFE_CRIME_MURDER_COUNT;2022/2023;65;65
EC126;SAFE_CRIME_MURDER_COUNT;2022/2023;59;59
EC129;SAFE_CRIME_MURDER_COUNT;2022/2023;149;149
EC131;SAFE_CRIME_MURDER_COUNT;2022/2023;74;74
EC135;SAFE_CRIME_MURDER_COUNT;2022/2023;184;184
EC137;SAFE_CRIME_MURDER_COUNT;2022/2023;204;204
EC138;SAFE_CRIME_MURDER_COUNT;2022/2023;81;81
EC139;SAFE_CRIME_MURDER_COUNT;2022/2023;216;216
EC141;SAFE_CRIME_MURDER_COUNT;2022/2023;127;127
EC142;SAFE_CRIME_MURDER_COUNT;2022/2023;91;91
EC145;SAFE_CRIME_MURDER_COUNT;2022/2023;44;44
EC153;SAFE_CRIME_MURDER_COUNT;2022/2023;350;350
EC154;SAFE_CRIME_MURDER_COUNT;2022/2023;92;92
EC155;SAFE_CRIME_MURDER_COUNT;2022/2023;274;274
EC156;SAFE_CRIME_MURDER_COUNT;2022/2023;216;216
EC157;SAFE_CRIME_MURDER_COUNT;2022/2023;736;736
EC441;SAFE_CRIME_MURDER_COUNT;2022/2023;139;139
EC442;SAFE_CRIME_MURDER_COUNT;2022/2023;154;154
EC444;SAFE_CRIME_MURDER_COUNT;2022/2023;79;79
EKU;SAFE_CRIME_MURDER_COUNT;2022/2023;3233;3233
ETH;SAFE_CRIME_MURDER_COUNT;2022/2023;6262;6262
FS161;SAFE_CRIME_MURDER_COUNT;2022/2023;21;21
FS162;SAFE_CRIME_MURDER_COUNT;2022/2023;15;15
FS163;SAFE_CRIME_MURDER_COUNT;2022/2023;18;18
FS181;SAFE_CRIME_MURDER_COUNT;2022/2023;26;26
FS182;SAFE_CRIME_MURDER_COUNT;2022/2023;11;11
FS183;SAFE_CRIME_MURDER_COUNT;2022/2023;66;66
FS184;SAFE_CRIME_MURDER_COUNT;2022/2023;427;427
FS185;SAFE_CRIME_MURDER_COUNT;2022/2023;138;138
FS191;SAFE_CRIME_MURDER_COUNT;2022/2023;62;62
FS192;SAFE_CRIME_MURDER_COUNT;2022/2023;36;36
FS193;SAFE_CRIME_MURDER_COUNT;2022/2023;19;19
FS194;SAFE_CRIME_MURDER_COUNT;2022/2023;277;277
FS195;SAFE_CRIME_MURDER_COUNT;2022/2023;39;39
FS196;SAFE_CRIME_MURDER_COUNT;2022/2023;21;21
