"MunicipalityCode";"IndicatorID";"Year";"ValueRaw";"ValueParsed";"Source"
"BUF";"TOTAL_NUMBER_OF_HOUSEHOLDS_PER_MUNICIPALITY";"2024";"";"";"General Household Survey (2024)
Quantec"
"BUF";"AVERAGE_HOUSEHOLD_SIZE_PER_MUNICIPALITY";"2024";"";"";"General Household Survey (2024)
Quantec"
"BUF";"PERCENTAGE_OF_HOUSEHOLDS_WITH_FORMAL_DWELLINGS_PER_MUNICIPALITY";"2024";"";"";"General Household Survey (2024)
Quantec"
"BUF";"PERCENTAGE_OF_HOUSEHOLD_WITH_ACCESS_TO_WATER_SANITATION_ELECTRICITY_AND_WASTE_COLLECTION_PER_MUNICIPALITY";"2024";"";"";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"WATER_AND_SANITATION_QUALITY_WATER_PER_MUNICIPALITY_BLUE_DROP_GREEN_DROP_STATUS";"2024";"";"";"Blue drop report 2024"
"BUF";"NUMBER_OF_CONSUMER_UNITS_USING_THE_BUCKET_TOILET_SYSTEM_PROVIDED_BY_MUNICIPALITIES_IN_EACH_PROVINCE";"2024";"";"";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"NUMBER_OF_MUNICIPALITIES_THAT_PROVIDE_SERVICES";"2024";"";"";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"WATER_SANITATION_ELECTRICITY_WASTE";"2024";"";"";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"NUMBER_OF_CONSUMER_UNITS_RECEIVING_WATER_SERVICES_AND_FREE_BASIC_WATER_SERVICES_FROM_MUNICIPALITIES";"2024";"";"";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"NUMBER_OF_MUNICIPALITIES_IN_EACH_PROVINCE_WITH_A_POLICY_IN_PLACE_RELATING_TO_THE_PROVISION_OF_FREE_BASIC_SERVICES";"2024";"";"";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"NUMBER_OF_MUNICIPALITIES_IN_EACH_PROVINCE_WHICH_HAVE_IMPLEMENTED_THE_POLICY_RELATING_TO_THE_PROVISION_OF_FREE_BASIC_SERV";"2024";"";"";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"NUMBER_OF_INDIGENT_HOUSEHOLDS_IN_EACH_PROVINCE_BENEFITING_FROM_AN_INDIGENT_SUPPORT_SYSTEM";"2024";"";"";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"NUMBER_OF_VACANT_MANAGERIAL_POSITIONS_BY_PROVINCE_ACCORDING_TO_SECTION_54A_AND_56_OF_LOCAL_GOVERNMENT_MUNICIPAL_SYSTEM_A";"2024";"";"";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"NUMBER_OF_MANAGERIAL_POSITIONS_BY_PROVINCE_ACCORDING_TO_ORGANOGRAM_EXCLUDING_SECTION_56_MANAGERS";"2024";"";"";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"NUMBER_OF_COUNCILLORS_PER_MUNICIPALITY";"2024";"";"";"IEC
Non-financial census of municipalities for the year ended 30 June 2023"
"BUF";"EMPLOYMENT_POSITIONS_INCLUDING_MANAGERIAL_POSITIONS_BY_PROVINCE";"2024";"";"";"Municipalities 
Non-financial census of municipalities for the year ended 30 June 2023
Quantec"
"BUF";"AN_ALTERNATIVE_DIFFERENTIATION_APPROACH";"2024";"";"";"An alternative differentiation approach
Analysis of disparities in service delivery between different municipalities, such as urban versus rural areas. (Apply the MIIF model and identify characteristics predominant in each municipal type)"
"BUF";"ANALYSIS_OF_DISPARITIES_IN_SERVICE_DELIVERY_BETWEEN_DIFFERENT_MUNICIPALITIES_SUCH_AS_URBAN_VERSUS_RURAL_AREAS_APPLY_T";"2024";"";"";"An alternative differentiation approach
Analysis of disparities in service delivery between different municipalities, such as urban versus rural areas. (Apply the MIIF model and identify characteristics predominant in each municipal type)"
"BUF";"PERCENTAGE_OF_THE_POPULATION_LIVING_BELOW_A_CERTAIN_INCOME_LEVEL_POVERTY_LINE";"2024";"";"";"Stats SA
Quantec"
"BUF";"UNEMPLOYMENT_RATE_PER_MUNICIPALITY";"2024";"";"";"Stats SA
Quantec"
"BUF";"GINI_COEFFICIENT_PER_MUNICIPALITY";"2024";"";"";"Stats SA
Quantec"
"BUF";"HOUSEHOLD_INCOME_PER_MUNICIPALITY";"2024";"";"";"Stats SA
Quantec"
"BUF";"GDP_PER_MUNICIPALITY";"2024";"";"";"Stats SA
Quantec"
"BUF";"INFANT_MORTALITY_RATE";"2024";"";"";"Stats SA
Quantec"
"BUF";"LIFE_EXPECTANCY_RATE";"2024";"";"";"Stats SA
Quantec"
"BUF";"CHILD_MORTALITY_RATE";"2024";"";"";"Stats SA
Quantec"
"BUF";"LITERACY_RATE_PER_MUNICIPALITY";"2024";"";"";"Stats SA
Quantec"
"BUF";"CRIME_RATES";"2024";"";"";"Stats SA
Quantec"
