MunicipalityCode,IndicatorColumn,Theme,Value,ValueParsed,Municipality,Province,MIIF_Category,Latitude,Longitude
BUF,POP_2022,Demographics,73.98393463389776,73.98393463389776,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,POP_DENSITY,Demographics,101.05369963891782,101.05369963891782,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,POP_GROWTH_PCT,Demographics,63.4392066487412,63.4392066487412,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,PCT_WATER,Infrastructure,53.25349675862988,53.25349675862988,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,PCT_SAN,Infrastructure,57.15993571184957,57.15993571184957,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,PCT_ELEC,Infrastructure,72.30513533937122,72.30513533937122,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,REV_PC,Finance,25.386567889855634,25.386567889855634,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,GRANT_PCT,Finance,63.287814059546044,63.287814059546044,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,SURPLUS_PCT,Finance,52.1907210107438,52.1907210107438,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,POV_PCT,Poverty,96.9565002591209,96.9565002591209,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,GINI,Poverty,56.51654532390084,56.51654532390084,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,HIV_PCT,Health,93.35775222239039,93.35775222239039,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,MORT_CHILD,Health,37.925186044359855,37.925186044359855,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,MURDER,Safety,71.74518333605585,71.74518333605585,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,CRIME,Safety,66.38800527582458,66.38800527582458,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,AUDIT_CLEAN,Governance,42.61905504270435,42.61905504270435,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
BUF,UNAUTH_PCT,Governance,63.54792229273881,63.54792229273881,Buffalo City,EC,A,-34.49438152716142,25.280124233625127
DC10,POP_2022,Demographics,54.250376736632006,54.250376736632006,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,POP_DENSITY,Demographics,23.524165914267986,23.524165914267986,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
DC10,POP_GROWTH_PCT,Demographics,3.839252983395262,3.839252983395262,Sarah Baartman,EC,C1,-34.363287970702764,25.405095098422116
