"MunicipalityCode";"IndicatorID";"Year";"IndicatorName";"Theme";"Source";"Normalization";"Polarity";"MunicipalityName";"ProvinceName";"MIIF_Category";"ProvinceAcronym";"DistrictName";"ValueRaw";"ValueParsed"
"BUF";"TOTAL_NUMBER_OF_HOUSEHOLDS_PER_MUNICIPALITY";"2024";"Total number of households per municipality";"Household And Living Conditions";"General Household Survey (2024)
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"23.34";"23.344953491055477"
"BUF";"AVERAGE_HOUSEHOLD_SIZE_PER_MUNICIPALITY";"2024";"Average household size per municipality";"Dwelling Type";"General Household Survey (2024)
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"50.31";"50.311995831794974"
"BUF";"PERCENTAGE_OF_HOUSEHOLDS_WITH_FORMAL_DWELLINGS_PER_MUNICIPALITY";"2024";"Percentage of households with formal dwellings per municipality";"Indicators For Need Municipal Profiling And Provincial Differentiation";"General Household Survey (2024)
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"43.53";"43.53237175576488"
"BUF";"PERCENTAGE_OF_HOUSEHOLD_WITH_ACCESS_TO_WATER_SANITATION_ELECTRICITY_AND_WASTE_COLLECTION_PER_MUNICIPALITY";"2024";"Percentage of household with access to water, sanitation, electricity, and waste collection per municipality";"Access To Service Access And Quality";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"36.45";"36.449686694218165"
"BUF";"WATER_AND_SANITATION_QUALITY_WATER_PER_MUNICIPALITY_BLUE_DROP_GREEN_DROP_STATUS";"2024";"Water and sanitation quality water per municipality (blue drop, green drop status)";"Quality Of Basic Services";"Blue drop report 2024";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"20.70";"20.697600252404555"
"BUF";"NUMBER_OF_CONSUMER_UNITS_USING_THE_BUCKET_TOILET_SYSTEM_PROVIDED_BY_MUNICIPALITIES_IN_EACH_PROVINCE";"2024";"Number of consumer units using the bucket toilet system provided by municipalities in each province";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"59.18";"59.18469683793829"
"BUF";"NUMBER_OF_MUNICIPALITIES_THAT_PROVIDE_SERVICES";"2024";"Number (%) of municipalities that provide services";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"40.88";"40.883487855400645"
"BUF";"WATER_SANITATION_ELECTRICITY_WASTE";"2024";"water, sanitation, electricity, waste";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"53.20";"53.203954339127016"
"BUF";"NUMBER_OF_CONSUMER_UNITS_RECEIVING_WATER_SERVICES_AND_FREE_BASIC_WATER_SERVICES_FROM_MUNICIPALITIES";"2024";"Number of consumer units receiving water services and free basic water services from municipalities";"Free Basic Services";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"58.42";"58.421370222621235"
"BUF";"NUMBER_OF_MUNICIPALITIES_IN_EACH_PROVINCE_WITH_A_POLICY_IN_PLACE_RELATING_TO_THE_PROVISION_OF_FREE_BASIC_SERVICES";"2024";"Number of municipalities in each province with a policy in place relating to the provision of free basic services";"Indicators For Need Municipal Profiling And Provincial Differentiation";"Non-financial census of municipalities for the year ended 30 June 2023
Quantec";"minmax";"1";"Buffalo City";"Eastern Cape";"A";"EC";"Buffalo City";"53.51";"53.50545578982839"
