MunicipalityCode,IndicatorColumn,Theme,Value,ValueParsed
BUF,POP_2022,Demographics,73.98393463389776,73.98393463389776
BUF,POP_DENSITY,Demographics,101.05369963891782,101.05369963891782
BUF,POP_GROWTH_PCT,Demographics,63.4392066487412,63.4392066487412
BUF,PCT_WATER,Infrastructure,53.25349675862988,53.25349675862988
BUF,PCT_SAN,Infrastructure,57.15993571184957,57.15993571184957
BUF,PCT_ELEC,Infrastructure,72.30513533937122,72.30513533937122
BUF,REV_PC,Finance,25.386567889855634,25.386567889855634
BUF,GRANT_PCT,Finance,63.287814059546044,63.287814059546044
BUF,SURPLUS_PCT,Finance,52.1907210107438,52.1907210107438
BUF,POV_PCT,Poverty,96.9565002591209,96.9565002591209
BUF,GINI,Poverty,56.51654532390084,56.51654532390084
BUF,HIV_PCT,Health,93.35775222239039,93.35775222239039
BUF,MORT_CHILD,Health,37.925186044359855,37.925186044359855
BUF,MURDER,Safety,71.74518333605585,71.74518333605585
BUF,CRIME,Safety,66.38800527582458,66.38800527582458
BUF,AUDIT_CLEAN,Governance,42.61905504270435,42.61905504270435
BUF,UNAUTH_PCT,Governance,63.54792229273881,63.54792229273881
DC10,POP_2022,Demographics,54.250376736632006,54.250376736632006
DC10,POP_DENSITY,Demographics,23.524165914267986,23.524165914267986
DC10,POP_GROWTH_PCT,Demographics,3.839252983395262,3.839252983395262
DC10,PCT_WATER,Infrastructure,29.64874347045108,29.64874347045108
DC10,PCT_SAN,Infrastructure,11.951538104149748,11.951538104149748
DC10,PCT_ELEC,Infrastructure,23.153181226722353,23.153181226722353
DC10,REV_PC,Finance,28.36824460629758,28.36824460629758
DC10,GRANT_PCT,Finance,4.113044320310344,4.113044320310344
DC10,SURPLUS_PCT,Finance,2.3131667864135608,2.3131667864135608
DC10,POV_PCT,Poverty,39.6413367105105,39.6413367105105
DC10,GINI,Poverty,19.545626076606393,19.545626076606393
DC10,HIV_PCT,Health,21.294886836411344,21.294886836411344
DC10,MORT_CHILD,Health,45.6968807321627,45.6968807321627
DC10,MURDER,Safety,35.447395105484794,35.447395105484794
DC10,CRIME,Safety,15.72250351927032,15.72250351927032
DC10,AUDIT_CLEAN,Governance,3.66339577883517,3.66339577883517
DC10,UNAUTH_PCT,Governance,46.71615792628674,46.71615792628674
DC12,POP_2022,Demographics,41.98701245120859,41.98701245120859
DC12,POP_DENSITY,Demographics,82.65204565368147,82.65204565368147
DC12,POP_GROWTH_PCT,Demographics,43.403771974498746,43.403771974498746
DC12,PCT_WATER,Infrastructure,42.7540628252403,42.7540628252403
DC12,PCT_SAN,Infrastructure,31.661441397828696,31.661441397828696
DC12,PCT_ELEC,Infrastructure,51.33551734401582,51.33551734401582
DC12,REV_PC,Finance,47.501704024963075,47.501704024963075
DC12,GRANT_PCT,Finance,60.034500171303904,60.034500171303904
DC12,SURPLUS_PCT,Finance,24.573541627254304,24.573541627254304
DC12,POV_PCT,Poverty,26.291850541120752,26.291850541120752
DC12,GINI,Poverty,25.417936581760397,25.417936581760397
DC12,HIV_PCT,Health,50.81603442357978,50.81603442357978
DC12,MORT_CHILD,Health,64.96748880593464,64.96748880593464
DC12,MURDER,Safety,25.823190137013988,25.823190137013988
DC12,CRIME,Safety,26.504525444138174,26.504525444138174
DC12,AUDIT_CLEAN,Governance,41.28154447739598,41.28154447739598
DC12,UNAUTH_PCT,Governance,30.084769999741972,30.084769999741972
DC13,POP_2022,Demographics,59.0410730627978,59.0410730627978
DC13,POP_DENSITY,Demographics,5.035545812380931,5.035545812380931
DC13,POP_GROWTH_PCT,Demographics,23.465899061662107,23.465899061662107
DC13,PCT_WATER,Infrastructure,24.351673320771084,24.351673320771084
DC13,PCT_SAN,Infrastructure,6.407120247722901,6.407120247722901
DC13,PCT_ELEC,Infrastructure,20.72723111262392,20.72723111262392
DC13,REV_PC,Finance,21.69687768308148,21.69687768308148
DC13,GRANT_PCT,Finance,35.97790690962339,35.97790690962339
DC13,SURPLUS_PCT,Finance,62.25931783320527,62.25931783320527
DC13,POV_PCT,Poverty,35.098786976185956,35.098786976185956
DC13,GINI,Poverty,19.383725594576923,19.383725594576923
